document_path,document_role,verification_epoch,legacy_origin,verification_class,current_verification_status,current_proof_eligible,revalidation_required,legacy_source_ids,status_reason
README.md,NAVIGATION,MD-REBASELINE-20260820-001,NO,NAVIGATION,CURRENT_NAVIGATION,NO,NO,,
START_HERE.md,NAVIGATION,MD-REBASELINE-20260820-001,NO,NAVIGATION,CURRENT_NAVIGATION,NO,NO,,
authority/README.md,NAVIGATION,MD-REBASELINE-20260820-001,NO,NAVIGATION,CURRENT_NAVIGATION,NO,NO,,
authority/governance/CHANGE_IMPACT_DECLARATION_STANDARD.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/CURRENT_STATE_SUMMARY_STANDARD.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/CURRENT_VERIFICATION_EPOCH.json,REGISTRY,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/CURRENT_VERIFICATION_REBASELINE_STANDARD.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/CURRENT_VERIFICATION_REGISTRY.csv,REGISTRY,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DEPENDENCY_REGISTRY_STANDARD.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DOCUMENTATION_ARCHITECTURE.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DOCUMENT_CHANGE_LOG.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DOCUMENT_CHANGE_POLICY.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DOCUMENT_ID_REGISTRY.csv,REGISTRY,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DOCUMENT_INTEGRITY_EXCEPTION_REGISTRY.json,REGISTRY,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DOCUMENT_INTEGRITY_GATE_STANDARD.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DOCUMENT_RECORDING_STANDARD.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/DOCUMENT_ROLE_REGISTRY.csv,REGISTRY,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/IMPLEMENTATION_RESIDUE_AND_CONFORMANCE_STANDARD.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/LAYER_ACTIVATION_RULE.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/LEGACY_DOCUMENT_NORMALIZATION_STANDARD.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/LINK_INTEGRITY_CHECK_LOCKED.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/MARKET_DATA_CHANGE_IMPACT_MATRIX.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/MARKET_DATA_DOCUMENT_AUTHORITY.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
authority/governance/MARKET_DATA_OWNER_MATRIX.md,GOVERNANCE,MD-REBASELINE-20260820-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,
