document_id,document_path,document_role,legacy_source_id,strategy_authority_id
MD-DOC-00001,README.md,NAVIGATION,,
MD-DOC-00002,START_HERE.md,NAVIGATION,,
MD-DOC-00003,authority/README.md,NAVIGATION,,
MD-DOC-00004,authority/governance/CHANGE_IMPACT_DECLARATION_STANDARD.md,GOVERNANCE,,
MD-DOC-00005,authority/governance/CURRENT_STATE_SUMMARY_STANDARD.md,GOVERNANCE,,
MD-DOC-00006,authority/governance/CURRENT_VERIFICATION_EPOCH.json,REGISTRY,,
MD-DOC-00007,authority/governance/CURRENT_VERIFICATION_REBASELINE_STANDARD.md,GOVERNANCE,,
MD-DOC-00008,authority/governance/CURRENT_VERIFICATION_REGISTRY.csv,REGISTRY,,
MD-DOC-00009,authority/governance/DEPENDENCY_REGISTRY_STANDARD.md,GOVERNANCE,,
MD-DOC-00010,authority/governance/DOCUMENTATION_ARCHITECTURE.md,GOVERNANCE,,
MD-DOC-00011,authority/governance/DOCUMENT_CHANGE_LOG.md,GOVERNANCE,,
MD-DOC-00012,authority/governance/DOCUMENT_CHANGE_POLICY.md,GOVERNANCE,,
MD-DOC-00013,authority/governance/DOCUMENT_ID_REGISTRY.csv,REGISTRY,,
MD-DOC-00014,authority/governance/DOCUMENT_INTEGRITY_EXCEPTION_REGISTRY.json,REGISTRY,,
MD-DOC-00015,authority/governance/DOCUMENT_INTEGRITY_GATE_STANDARD.md,GOVERNANCE,,
MD-DOC-00016,authority/governance/DOCUMENT_RECORDING_STANDARD.md,GOVERNANCE,,
MD-DOC-00017,authority/governance/DOCUMENT_ROLE_REGISTRY.csv,REGISTRY,,
MD-DOC-00018,authority/governance/IMPLEMENTATION_RESIDUE_AND_CONFORMANCE_STANDARD.md,GOVERNANCE,,
MD-DOC-00019,authority/governance/LAYER_ACTIVATION_RULE.md,GOVERNANCE,,
MD-DOC-00020,authority/governance/LEGACY_DOCUMENT_NORMALIZATION_STANDARD.md,GOVERNANCE,,
MD-DOC-00021,authority/governance/LINK_INTEGRITY_CHECK_LOCKED.md,GOVERNANCE,,
MD-DOC-00022,authority/governance/MARKET_DATA_CHANGE_IMPACT_MATRIX.md,GOVERNANCE,,
MD-DOC-00023,authority/governance/MARKET_DATA_DOCUMENT_AUTHORITY.md,GOVERNANCE,,
MD-DOC-00024,authority/governance/MARKET_DATA_OWNER_MATRIX.md,GOVERNANCE,,
MD-DOC-00025,authority/governance/MARKET_DATA_STRATEGY_AUTHORITY_REGISTRY.csv,REGISTRY,,
MD-DOC-00026,authority/governance/MARKET_DATA_STRATEGY_FREEZE_MANIFEST.json,REGISTRY,,
MD-DOC-00027,authority/governance/ONE_DOCUMENT_ONE_AUTHORITATIVE_ROLE_STANDARD.md,GOVERNANCE,,
MD-DOC-00028,authority/governance/README.md,NAVIGATION,,
MD-DOC-00029,authority/governance/STAGE_CLOSURE_MANIFEST_STANDARD.md,GOVERNANCE,,
MD-DOC-00030,authority/governance/STAGE_EXECUTION_AND_REWORK_STANDARD.md,GOVERNANCE,,
MD-DOC-00031,authority/governance/STRATEGY_IMPLEMENTATION_TRACEABILITY_STANDARD.md,GOVERNANCE,,
MD-DOC-00032,authority/governance/STRATEGY_TO_IMPLEMENTATION_COVERAGE_BASELINE.json,REGISTRY,,
MD-DOC-00033,authority/governance/STRATEGY_TO_IMPLEMENTATION_TRACEABILITY_MATRIX.csv,REGISTRY,,
MD-DOC-00034,authority/governance/WORK_BASELINE_LOCK_STANDARD.md,GOVERNANCE,,
MD-DOC-00035,authority/governance/WORK_CORRELATION_AND_RECORD_REGISTRY_STANDARD.md,GOVERNANCE,,
MD-DOC-00036,authority/governance/audit/AUDIT_UPDATE_GOVERNANCE.md,GOVERNANCE,,
