document_path,document_role,role_scope,mutability,current_authority,supporting_cross_role_references_allowed,role_source,notes
README.md,NAVIGATION,NAVIGATION,MUTABLE_TRACEABLE,NO,YES,ARCHITECTURE_NORMALIZATION,
START_HERE.md,NAVIGATION,NAVIGATION,MUTABLE_TRACEABLE,NO,YES,ARCHITECTURE_NORMALIZATION,
authority/README.md,NAVIGATION,NAVIGATION,MUTABLE_TRACEABLE,NO,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/CHANGE_IMPACT_DECLARATION_STANDARD.md,GOVERNANCE,DOCUMENT_PROCESS_AUTHORITY,CONTROLLED_REVISION,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/CURRENT_STATE_SUMMARY_STANDARD.md,GOVERNANCE,DOCUMENT_PROCESS_AUTHORITY,CONTROLLED_REVISION,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/CURRENT_VERIFICATION_EPOCH.json,REGISTRY,GOVERNANCE_REGISTRY,MUTABLE_TRACEABLE,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/CURRENT_VERIFICATION_REBASELINE_STANDARD.md,GOVERNANCE,DOCUMENT_PROCESS_AUTHORITY,CONTROLLED_REVISION,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/CURRENT_VERIFICATION_REGISTRY.csv,REGISTRY,GOVERNANCE_REGISTRY,MUTABLE_TRACEABLE,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/DEPENDENCY_REGISTRY_STANDARD.md,GOVERNANCE,DOCUMENT_PROCESS_AUTHORITY,CONTROLLED_REVISION,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/DOCUMENTATION_ARCHITECTURE.md,GOVERNANCE,DOCUMENT_PROCESS_AUTHORITY,CONTROLLED_REVISION,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/DOCUMENT_CHANGE_LOG.md,GOVERNANCE,DOCUMENT_PROCESS_AUTHORITY,CONTROLLED_REVISION,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/DOCUMENT_CHANGE_POLICY.md,GOVERNANCE,DOCUMENT_PROCESS_AUTHORITY,CONTROLLED_REVISION,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/DOCUMENT_ID_REGISTRY.csv,REGISTRY,GOVERNANCE_REGISTRY,MUTABLE_TRACEABLE,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/DOCUMENT_INTEGRITY_EXCEPTION_REGISTRY.json,REGISTRY,GOVERNANCE_REGISTRY,MUTABLE_TRACEABLE,YES,YES,ARCHITECTURE_NORMALIZATION,
authority/governance/DOCUMENT_INTEGRITY_GATE_STANDARD.md,GOVERNANCE,DOCUMENT_PROCESS_AUTHORITY,CONTROLLED_REVISION,YES,YES,ARCHITECTURE_NORMALIZATION,
