strategy_id,source_path_before_refactor,current_path,sha1,authority_status,semantic_change,notes
MD-S001,README.md,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,654D3D246A56C8BF587B40FF6D275D31F30FDC9B,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S002,backtest/Backtest_Metrics_and_Acceptance_Criteria_LOCKED.md,authority/strategy/backtest/Backtest_Metrics_and_Acceptance_Criteria_LOCKED.md,461A5B4AE488B75D48BD43D1A7E31E6B28D76AE8,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S003,backtest/Historical_Replay_and_Data_Quality_Backtest.md,authority/strategy/backtest/Historical_Replay_and_Data_Quality_Backtest.md,81934283651529E5145B569089DB9D5E3585396F,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S004,backtest/Point_In_Time_Backtest_Input_Contract_LOCKED.md,authority/strategy/backtest/Point_In_Time_Backtest_Input_Contract_LOCKED.md,1429599447ABFB901C9CF9F0A5E1273229CD3284,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S005,book/Audit_Hash_and_Reproducibility_Contract_LOCKED.md,authority/strategy/book/Audit_Hash_and_Reproducibility_Contract_LOCKED.md,B907B13F18250A94A033F4C03E2A69B0D58C4AFB,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S006,book/CONSUMER_READ_CONTRACT_LOCKED.md,authority/strategy/book/CONSUMER_READ_CONTRACT_LOCKED.md,8C7559A9B0758EE6593D926ACCD16B7E0C27DBB1,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S007,book/Canonical_Row_History_and_Versioning_Policy_LOCKED.md,authority/strategy/book/Canonical_Row_History_and_Versioning_Policy_LOCKED.md,5CD4CA78786DA8194EB746C1A6818ACDD2FB50FA,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S008,book/Canonicalization_Contract_EOD_Bars.md,authority/strategy/book/Canonicalization_Contract_EOD_Bars.md,FDB0BEFBC83DBB6ADC03B99D8BB60EDF26F3353B,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S009,book/Consumer_Readability_Decision_Table_LOCKED.md,authority/strategy/book/Consumer_Readability_Decision_Table_LOCKED.md,E2DFB224B21707E4FD4055FEBC104B2C3D636A42,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S010,book/Corporate_Action_Impact_Flags_Contract.md,authority/strategy/book/Corporate_Action_Impact_Flags_Contract.md,8C0BDE74471A9D4D7CBAE6736DAC81C97DCFBFCD,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S011,book/Corporate_Action_and_Adjustment_Policy.md,authority/strategy/book/Corporate_Action_and_Adjustment_Policy.md,AA4CB754D7027CD30E9F9E1CF95F9B7ADD6BEB0C,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S012,book/Corporate_Action_and_Adjustment_Policy_Selected_Defaults_LOCKED.md,authority/strategy/book/Corporate_Action_and_Adjustment_Policy_Selected_Defaults_LOCKED.md,F96A93051816DF8F153F56B98FD1DB8F7293F2CB,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S013,book/Correction_Lifecycle_Safety_Contract.md,authority/strategy/book/Correction_Lifecycle_Safety_Contract.md,65E031D21C262AA99CFDD7DF69937E82DAA55F99,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S014,book/Coverage_Edge_Cases_Contract_LOCKED.md,authority/strategy/book/Coverage_Edge_Cases_Contract_LOCKED.md,08EF896C0C5F865E1260B8C719E20670DBB97327,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S015,book/Coverage_Gate_Enforcement_Contract_LOCKED.md,authority/strategy/book/Coverage_Gate_Enforcement_Contract_LOCKED.md,F4E8BD159DEC8EE87578D98DBA8F05483ECEB997,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S016,book/Coverage_Universe_Definition_LOCKED.md,authority/strategy/book/Coverage_Universe_Definition_LOCKED.md,2AEE0B5C853562F9EB9A0EA6098CD36F20C5DEC1,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
MD-S017,book/Current_Indicator_Recompute_Command_Contract.md,authority/strategy/book/Current_Indicator_Recompute_Command_Contract.md,92E4BA3EC57565F9CFE8F707EE87B164D14A0DB8,CURRENT_STRATEGY_AUTHORITY,NONE,Moved byte-for-byte; legacy internal path strings preserved.
