legacy_source_id,original_path,current_primary_path,role,sha1
LS-MD-0214,README.md,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,STRATEGY,654D3D246A56C8BF587B40FF6D275D31F30FDC9B
LS-MD-0001,audit/AUDIT_BASELINE.md,records/history/archive/audit/AUDIT_BASELINE.md,HISTORY,6B8B627184F26565FB2479F27DDEEA91C10B9B31
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,records/history/archive/audit/AUDIT_CLAIM_CONTROL.md,HISTORY,522AA4756D1C22CB13A303305FEB9F565227CB31
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,29D6BAB13EE1A62947406EB10F568D260DB48E34
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,1EB4399E5C2239980FD50CC73AF543D8125FA55A
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,records/history/archive/audit/AUDIT_DOMAIN_BOUNDARY.md,HISTORY,4E96793495D79A930F0A735B7601D3C2458FAE57
LS-MD-0006,audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,records/history/archive/audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,HISTORY,C1C4D53BDD26C130ACDF1F07E9E9BAE1B0BD590E
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,records/history/archive/audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,HISTORY,26E071F198DDB6B8210AC8AC71F5638FD478DAFE
LS-MD-0008,audit/AUDIT_METHOD.md,records/history/archive/audit/AUDIT_METHOD.md,HISTORY,629307ADF256AA7CBF8EBDCEC368BD4E987567C7
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,records/history/archive/audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,HISTORY,30F616C9790BCFA425F20BDAD5227646C4AE8B0F
LS-MD-0010,audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,records/history/archive/audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,HISTORY,49E6D97E300514B9C9A8930E3BDFA9F9FF3288C5
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,records/history/archive/audit/AUDIT_SCORING_AND_VERDICT.md,HISTORY,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B
LS-MD-0012,audit/AUDIT_TRACEABILITY_RULES.md,records/history/archive/audit/AUDIT_TRACEABILITY_RULES.md,HISTORY,704BAE7967262C32345738376F251D798FE9F963
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,records/history/archive/audit/AUDIT_UPDATE_GOVERNANCE.md,HISTORY,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,B522643CB68AFF2ECC9A8268A482C11CE2D61598
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,CF3BD55641F75EDA47DC3EB456D1824632863949
