legacy_source_id,original_path,original_sha1,audit_scope,semantic_roles,material_composite,split_extract_count,source_line_count,split_coverage,physical_original_retained,final_disposition
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,FULL_DOCUMENT,HISTORY,NO,0,130,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,522AA4756D1C22CB13A303305FEB9F565227CB31,FULL_DOCUMENT,HISTORY,NO,0,43,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;GOVERNANCE;IMPLEMENTATION,YES,11,128,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION;RESEARCH,YES,14,216,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,4E96793495D79A930F0A735B7601D3C2458FAE57,FULL_DOCUMENT,HISTORY,NO,0,36,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0006,audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,C1C4D53BDD26C130ACDF1F07E9E9BAE1B0BD590E,FULL_DOCUMENT,HISTORY,NO,0,37,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,FULL_DOCUMENT,HISTORY,NO,0,62,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,FULL_DOCUMENT,HISTORY,NO,0,97,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,FULL_DOCUMENT,HISTORY,NO,0,74,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0010,audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,49E6D97E300514B9C9A8930E3BDFA9F9FF3288C5,FULL_DOCUMENT,HISTORY,NO,0,33,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B,FULL_DOCUMENT,HISTORY,NO,0,52,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0012,audit/AUDIT_TRACEABILITY_RULES.md,704BAE7967262C32345738376F251D798FE9F963,FULL_DOCUMENT,HISTORY,NO,0,22,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,FULL_DOCUMENT,HISTORY,NO,0,1271,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0014,audit/checklists/CHECKLIST_CROSS_LAYER_CONSISTENCY.md,F1E748941DEEB4145786A866665721EAD972B3EA,FULL_DOCUMENT,HISTORY,NO,0,45,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0015,audit/checklists/CHECKLIST_DOMAIN_DRIFT.md,E2B7BBDA94C2B9D90514308850499429547FD9C1,FULL_DOCUMENT,HISTORY,NO,0,33,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0016,audit/checklists/CHECKLIST_LAYER_A_SYSTEM_DOCS.md,E4936AF6A1B94AB8FEF94DD52FDF0FA3F70A8B62,FULL_DOCUMENT,HISTORY,NO,0,51,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0017,audit/checklists/CHECKLIST_LAYER_B_IMPLEMENTATION_GUIDANCE.md,24B1B29B763A1A08220C54620CD60A8F3D1EB4B9,FULL_DOCUMENT,HISTORY,NO,0,51,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0018,audit/checklists/CHECKLIST_LAYER_C_REAL_IMPLEMENTATION_RUNTIME.md,48A83FE23E21A05FE03F336A783E64251E941215,FULL_DOCUMENT,HISTORY,NO,0,45,NOT_REQUIRED,YES,RETAINED_SINGLE_ROLE_OR_FROZEN_STRATEGY
LS-MD-0019,audit/CONFIG_ENV_GOVERNANCE_CLEANUP_INVENTORY.md,B522643CB68AFF2ECC9A8268A482C11CE2D61598,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION;RESEARCH,YES,10,254,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;IMPLEMENTATION,YES,8,194,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0021,audit/COVERAGE_GATE_CANDIDATE_SCOPE_HARDENING_INVENTORY.md,DDF61DF585B439719BE513385796A126871558FD,FULL_DOCUMENT,CONTEXT;IMPLEMENTATION,YES,2,173,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;GOVERNANCE;IMPLEMENTATION,YES,10,152,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0023,audit/DB_SCHEMA_MIGRATION_SYNC_INVENTORY.md,2C21334498F0471DF8EE45D555AC98F3F5279BB4,FULL_DOCUMENT,CONTEXT;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION,YES,7,84,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0024,audit/EVIDENCE_EXPORT_RUNTIME_PROOF_INVENTORY.md,CE951167381AE5231B705EE619EA1FECEEC18A9E,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE,YES,7,182,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0025,audit/EVIDENCE_HISTORICAL_LINEAGE_COMPLETENESS_INVENTORY.md,41DCC6ED7C59A480873EA7C1F71EEB470396403D,FULL_DOCUMENT,CONTEXT;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION,YES,13,145,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0026,audit/FAIL_SAFE_NO_SILENT_FAILURE_INVENTORY.md,968C8EDCD6CA2212F89EADAB5388BA2F831C0715,FULL_DOCUMENT,CONTEXT;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION;RESEARCH,YES,8,74,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0027,audit/FULL_MARKET_DATA_PRODUCTION_READY_INVENTORY.md,4C0357CC7BA4A9338F34EBCF09A671716FC4A857,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION,YES,15,662,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0028,audit/HASH_SEAL_DATASET_INTEGRITY_INVENTORY.md,C8D94C9D62FC23B2978DB75D31E851645BBF5CCF,FULL_DOCUMENT,CONTEXT;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION;RESEARCH,YES,6,123,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0029,audit/IMPORT_PROMOTE_SEPARATION_INVENTORY.md,F6D6E4A0D59F66EB903E4C0FA59BB30AC736CBA6,FULL_DOCUMENT,IMPLEMENTATION;RESEARCH,YES,2,52,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0030,audit/LUMEN_CONTRACT_TRACKER.md,88A4CD4C9D12A578A2837DCB275B315C91D1492A,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;GOVERNANCE;IMPLEMENTATION,YES,23,4455,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
LS-MD-0031,audit/LUMEN_IMPLEMENTATION_STATUS.md,3FDDFFF0B53D431DAA71A8545F87173445A616F7,FULL_DOCUMENT,CONTEXT;DECISION;EVIDENCE;FINDING;IMPLEMENTATION,YES,24,4722,FULL_100_PERCENT_EXACT,NO,REMOVED_AFTER_FULL_SEMANTIC_SPLIT
