legacy_source_id,original_path,source_sha1,section_start_line,section_end_line,heading,semantic_role,material_role,audit_disposition
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,1,2,Audit Baseline,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,3,10,Audit objective,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,11,34,What market-data means in this repository,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,35,49,In-scope materials,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,50,58,Out-of-scope materials,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,59,70,Source-of-truth precedence,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,71,89,Baseline folder roles used by this audit,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,90,92,Boundary discipline rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,93,97,Claim control rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,98,107,Anti-drift rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,108,121,Repo-shaped reading anchor,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,122,130,Active audit-report state rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,522AA4756D1C22CB13A303305FEB9F565227CB31,1,2,Audit Claim Control,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,522AA4756D1C22CB13A303305FEB9F565227CB31,3,12,Claim types,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,522AA4756D1C22CB13A303305FEB9F565227CB31,13,17,Required support per claim,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,522AA4756D1C22CB13A303305FEB9F565227CB31,18,32,Runtime-proven interpretation rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,522AA4756D1C22CB13A303305FEB9F565227CB31,33,38,Overclaim rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,522AA4756D1C22CB13A303305FEB9F565227CB31,39,43,Downgrade rule,HISTORY,YES,RETAIN_SINGLE_PRIMARY_ROLE_NO_SECONDARY_AUTHORITY
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,1,15,AUDIT_DOCS_SYNCHRONIZATION_INVENTORY,CONTEXT,NO,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,16,21,Purpose,GOVERNANCE,YES,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,22,46,Inventory,IMPLEMENTATION,YES,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,47,52,Duplicate Contract Check,GOVERNANCE,YES,SPLIT_EXACT_SECTION
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,53,58,Stale Status Check,CONTEXT,NO,SPLIT_EXACT_SECTION
