legacy_source_id,original_path,original_sha1,current_primary_path,current_role,source_storage_policy,current_verification_effect,notes,semantic_audit_status,split_extract_count,split_index
LS-MD-0214,README.md,654D3D246A56C8BF587B40FF6D275D31F30FDC9B,authority/strategy/MARKET_DATA_PLATFORM_EOD_BASELINE.md,STRATEGY,MOVED_TO_ROLE_PRIMARY,CURRENT_AUTHORITY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0001,audit/AUDIT_BASELINE.md,6B8B627184F26565FB2479F27DDEEA91C10B9B31,records/history/archive/audit/AUDIT_BASELINE.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0002,audit/AUDIT_CLAIM_CONTROL.md,522AA4756D1C22CB13A303305FEB9F565227CB31,records/history/archive/audit/AUDIT_CLAIM_CONTROL.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,11,LEGACY_SPLIT_INDEX.csv
LS-MD-0004,audit/AUDIT_DOCS_SYNCHRONIZATION_POST_SESSION_1_8_INVENTORY.md,1EB4399E5C2239980FD50CC73AF543D8125FA55A,,SPLIT_LEGACY_SOURCE,REMOVED_AFTER_FULL_SEMANTIC_SPLIT,HISTORICAL_ONLY,100% exact source-range coverage sealed in LEGACY_SPLIT_INDEX.csv and LEGACY_SPLIT_RECONSTRUCTION_INDEX.csv,FULL_SPLIT_SEALED,14,LEGACY_SPLIT_INDEX.csv
LS-MD-0005,audit/AUDIT_DOMAIN_BOUNDARY.md,4E96793495D79A930F0A735B7601D3C2458FAE57,records/history/archive/audit/AUDIT_DOMAIN_BOUNDARY.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0006,audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,C1C4D53BDD26C130ACDF1F07E9E9BAE1B0BD590E,records/history/archive/audit/AUDIT_EVIDENCE_STRENGTH_MODEL.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0007,audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,26E071F198DDB6B8210AC8AC71F5638FD478DAFE,records/history/archive/audit/AUDIT_LAYER_CLASSIFICATION_RULES.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0008,audit/AUDIT_METHOD.md,629307ADF256AA7CBF8EBDCEC368BD4E987567C7,records/history/archive/audit/AUDIT_METHOD.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0009,audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,30F616C9790BCFA425F20BDAD5227646C4AE8B0F,records/history/archive/audit/AUDIT_NORMATIVE_VS_COMPANION_RULES.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0010,audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,49E6D97E300514B9C9A8930E3BDFA9F9FF3288C5,records/history/archive/audit/AUDIT_SCOPE_AND_EXCLUSIONS.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0011,audit/AUDIT_SCORING_AND_VERDICT.md,B9E0D4325FE7B7105AA3611B33E73AEB84BB9C5B,records/history/archive/audit/AUDIT_SCORING_AND_VERDICT.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0012,audit/AUDIT_TRACEABILITY_RULES.md,704BAE7967262C32345738376F251D798FE9F963,records/history/archive/audit/AUDIT_TRACEABILITY_RULES.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
LS-MD-0013,audit/AUDIT_UPDATE_GOVERNANCE.md,0B36BFFAE668EE54ABD91A7041AEBC420B0966CD,records/history/archive/audit/AUDIT_UPDATE_GOVERNANCE.md,HISTORY,MOVED_TO_ROLE_PRIMARY,HISTORICAL_ONLY,,SINGLE_ROLE_OR_FROZEN,0,
