source_id,original_path,original_sha1,extract_id,extract_role,source_start_line,source_end_line,source_ranges,extract_body_sha1,extract_path,physical_class,current_authority,current_verification_effect,content_policy
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-CTX-01,CONTEXT,1,15,L1-L15,E21E6B16A09D4AF8A612E03C5C2CB31DB72DA30A,records/history/archive/semantic/LX-MD-0003-CTX-01_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-GOV-01,GOVERNANCE,16,21,L16-L21,2A18F9F66BF02F8A489C1A0321D28F0F75707969,records/history/archive/semantic/LX-MD-0003-GOV-01_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-IMP-01,IMPLEMENTATION,22,46,L22-L46,1FBEC35C9DA3E26397CFCBCD73EBA8767FD58975,records/history/archive/semantic/LX-MD-0003-IMP-01_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-GOV-02,GOVERNANCE,47,52,L47-L52,DD9EB17E55536AAD2A1EB0D58D0F90548383F705,records/history/archive/semantic/LX-MD-0003-GOV-02_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-CTX-02,CONTEXT,53,58,L53-L58,7BA1431A02B84CA9028AF06E434081EF1F187240,records/history/archive/semantic/LX-MD-0003-CTX-02_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-EVD-01,EVIDENCE,59,64,L59-L64,961FB588F751F06F36A0E7AF8DF5E1F1E3F07DA2,records/evidence/legacy/semantic/LX-MD-0003-EVD-01_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-CTX-03,CONTEXT,65,77,L65-L77,434879BCF3F99528CB22FCE00029D168CFF29D7A,records/history/archive/semantic/LX-MD-0003-CTX-03_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-EVD-02,EVIDENCE,78,93,L78-L93,714B65656ED6D1307E34DCC1492621F3B6A0CB22,records/evidence/legacy/semantic/LX-MD-0003-EVD-02_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-DEC-01,DECISION,94,100,L94-L100,B81FA773731710C468F3C17015857C9F571CFD67,records/decisions/legacy/LX-MD-0003-DEC-01_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
LS-MD-0003,audit/AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,29D6BAB13EE1A62947406EB10F568D260DB48E34,LX-MD-0003-EVD-03,EVIDENCE,101,106,L101-L106,140B7796E65CCE26B4BEC1366815E4C1C588973D,records/evidence/legacy/semantic/LX-MD-0003-EVD-03_AUDIT_DOCS_SYNCHRONIZATION_INVENTORY.md,ROLE_PURE_LEGACY_EXTRACT,NO,HISTORICAL_ONLY,EXACT_SOURCE_RANGE_COPY_WITH_METADATA
