document_path,document_role,verification_epoch,legacy_origin,verification_class,current_verification_status,current_proof_eligible,revalidation_required,legacy_source_ids,status_reason
README.md,NAVIGATION,WS-REBASELINE-20260819-001,YES,NAVIGATION,CURRENT_NAVIGATION,NO,NO,LS-WS-0511,Navigation only; no proof effect.
START_HERE.md,NAVIGATION,WS-REBASELINE-20260819-001,NO,NAVIGATION,CURRENT_NAVIGATION,NO,NO,,Navigation only; no proof effect.
authority/README.md,NAVIGATION,WS-REBASELINE-20260819-001,NO,NAVIGATION,CURRENT_NAVIGATION,NO,NO,,Navigation only; no proof effect.
authority/governance/CHANGE_IMPACT_DECLARATION_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/CURRENT_STATE_SUMMARY_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/CURRENT_VERIFICATION_EPOCH.json,REGISTRY,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Current rebaseline authority/control.
authority/governance/CURRENT_VERIFICATION_REBASELINE_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Current rebaseline authority/control.
authority/governance/CURRENT_VERIFICATION_REGISTRY.csv,REGISTRY,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/DEPENDENCY_REGISTRY_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/DOCUMENTATION_ARCHITECTURE.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/DOCUMENT_CHANGE_LOG.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/DOCUMENT_CHANGE_POLICY.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/DOCUMENT_INTEGRITY_EXCEPTION_REGISTRY.json,REGISTRY,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/DOCUMENT_INTEGRITY_GATE_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/DOCUMENT_RECORDING_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/DOCUMENT_ROLE_REGISTRY.csv,REGISTRY,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/IMPLEMENTATION_RESIDUE_AND_CONFORMANCE_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/LAYER_ACTIVATION_RULE.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0510,Canonical/current process authority or registry.
authority/governance/LEGACY_DOCUMENT_NORMALIZATION_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/LINK_INTEGRITY_CHECK_LOCKED.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0512,Canonical/current process authority or registry.
authority/governance/ONE_DOCUMENT_ONE_AUTHORITATIVE_ROLE_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/README.md,NAVIGATION,WS-REBASELINE-20260819-001,NO,NAVIGATION,CURRENT_NAVIGATION,NO,NO,,Navigation only; no proof effect.
authority/governance/STAGE_CLOSURE_MANIFEST_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/STAGE_EXECUTION_AND_REWORK_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/STRATEGY_IMPLEMENTATION_TRACEABILITY_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/STRATEGY_TO_IMPLEMENTATION_COVERAGE_BASELINE.json,REGISTRY,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/STRATEGY_TO_IMPLEMENTATION_TRACEABILITY_MATRIX.csv,REGISTRY,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/WATCHLIST_CHANGE_IMPACT_MATRIX.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/WATCHLIST_DOCUMENT_AUTHORITY.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0670,Canonical/current process authority or registry.
authority/governance/WATCHLIST_OWNER_MATRIX.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0072,Canonical/current process authority or registry.
authority/governance/WEEKLY_SWING_POLICY_FRAMEWORK.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/WORK_BASELINE_LOCK_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/WORK_CORRELATION_AND_RECORD_REGISTRY_STANDARD.md,GOVERNANCE,WS-REBASELINE-20260819-001,NO,AUTHORITY,CURRENT_AUTHORITY,NO,NO,,Canonical/current process authority or registry.
authority/governance/audit/AUDIT_UPDATE_GOVERNANCE.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0053,Canonical/current process authority or registry.
authority/governance/audit/IMPL_README.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0057,Canonical/current process authority or registry.
authority/governance/audit/IMPL_WATCHLIST_IMPLEMENTATION_AUDIT_EXAMPLE.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0054,Canonical/current process authority or registry.
authority/governance/audit/IMPL_WATCHLIST_IMPLEMENTATION_AUDIT_FOUNDATION.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0058,Canonical/current process authority or registry.
authority/governance/audit/IMPL_WATCHLIST_IMPLEMENTATION_AUDIT_REAL_API_REVIEW_EXAMPLE.md,GOVERNANCE,WS-REBASELINE-20260819-001,YES,AUTHORITY,CURRENT_AUTHORITY,NO,NO,LS-WS-0055,Canonical/current process authority or registry.
