"scope","param_id","catalog_code","catalog_version","row_code","status","calibration_valid","reason_codes","picks_count","days_covered","avg_ret_net_top","median_ret_net_top","p25_ret_net_top","month_win_rate_min","month_avg_ret_net_min","win_rate_top","requested_ticker_date_pair_count","strict_is_boundary","max_requested_market_data_date","artifact_hash_run_1","artifact_hash_run_2","is_valid_param_count","is_failed_param_count","oos_executed","production_ready","forensic_note"
"AGGREGATE","","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","ALL_ROWS","C04_GRID_FAILED_IS_QUALITY","False","WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_STABILITY_FAIL","","","","","","","","","","True","2025-05-07","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","0","10","0","0","C04 run 1 and run 2 deterministic quality failure; no valid IS binding; no OOS run."
"PER_ROW","63","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","00_C03_LOW_ATR_STABILITY_REFERENCE","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","96","497","-0.0009191137998555465","-0.007808790210054026","-0.03310224702136568","0","-0.059180654048262844","0.4375","503","True","2025-05-02","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","64","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","01_BALANCED_COMPONENT_FLOOR_CORE","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","113","499","0.0014659954647405619","-0.0005025125628140704","-0.031026825901698373","0","-0.059180654048262844","0.4778761061946903","565","True","2025-05-06","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","65","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","02_BREAKOUT_VOLUME_RISK_CORE","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","120","499","0.004019194731065194","-0.0005012329477829806","-0.0314984557595214","0","-0.059180654048262844","0.49166666666666664","589","True","2025-05-06","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","66","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","03_MODERATE_LIQUIDITY_ROC_BAND","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","128","499","-0.00019202232144405738","-0.006808914095821465","-0.038733958418010264","0","-0.059180654048262844","0.4453125","619","True","2025-05-07","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","67","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","04_PRIOR_STRENGTH_NOT_CHASE","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","106","502","0.002454317674304641","-0.008379859145273658","-0.03888099359514642","0","-0.11241236536018961","0.42452830188679247","496","True","2025-05-02","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","68","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","05_LOW_ATR_DOWNSIDE_CONTROL","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","87","499","-0.0017380065855228091","-0.008627929296968727","-0.030868251660526605","0","-0.059180654048262844","0.41379310344827586","456","True","2025-05-02","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","69","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","06_MONTHLY_STABILITY_LIQUID","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","82","501","-0.002672003155684056","-0.012711973341163918","-0.03859380290712109","0","-0.059180654048262844","0.3780487804878049","411","True","2025-05-02","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","70","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","07_ANTI_REVERSAL_TRAP_CONFIRM","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","113","499","0.0014659954647405619","-0.0005025125628140704","-0.031026825901698373","0","-0.059180654048262844","0.4778761061946903","565","True","2025-05-06","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","71","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","08_BROAD_SAMPLE_QUALITY_FLOOR","GATES_FAILED","False","WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","176","496","-0.0030388547158553703","-0.007824565794821374","-0.038733958418010264","0","-0.07743093219619716","0.42045454545454547","839","True","2025-05-07","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
"PER_ROW","72","WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06","C04","09_STRICT_BALANCED_FINAL_PROBE","GATES_FAILED","False","WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL","110","499","0.0006626705334039686","-0.0005038164249662672","-0.03244171547516746","0","-0.059180654048262844","0.4636363636363636","552","True","2025-05-06","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","fe964ee879dddc8aa8a83372e8c2d05aed5e8259","","","0","0","Extracted from available runtime JSON artifact; no OOS run."
