source_id,legacy_work_key,original_path,section_no,heading,start_line,end_line,role,role_confidence,split_required,section_sha1
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,0,(preamble/title),1,2,CONTEXT,CONTEXT,NO,058380A6D0CE63DC13B0668E816710D306ABF3F3
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,1,WS Price Quality P01 Governance Addendum,3,31,GOVERNANCE,HIGH,NO,4044B9B1572D793C8EB85C4CDFF78ED6D8AB3DBC
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,2,WS Tail Risk S01 Governance Addendum,32,59,GOVERNANCE,HIGH,NO,BF20A7558697AC18CE7B6FF33351BB0D31A3F348
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,3,WS New Strategy R02 Governance Addendum,60,85,GOVERNANCE,HIGH,NO,EB02FE45CE3817F16A0746BAFE0E4BD7D0BD2339
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,4,WS New Strategy R01 Governance Addendum,86,111,GOVERNANCE,HIGH,NO,0BCBA8599DA98D3C1FDEB394991D714B13B6910F
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,5,Purpose,112,117,GOVERNANCE,HIGH,NO,A592F790B3B458D03195D851E64B8A7CA01E9E17
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,6,Source of Truth Rule,118,127,GOVERNANCE,HIGH,NO,36DF360DEB2184E07AB82063102C4418E8F1ECDD
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,7,Append-Only Update Rule,128,141,GOVERNANCE,HIGH,NO,2F24D68BA43639EA61B972CB0617D0DB9E5A3CBE
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,8,Active Session Rule,142,150,GOVERNANCE,HIGH,NO,ED954273AD52FD085F17FCF32509D856B2AB7D43
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,9,Status Taxonomy,151,166,GOVERNANCE,HIGH,NO,AC8B024587E8148B3FE209D962E9A8B2A17DDEA0
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,10,Severity Taxonomy,167,179,GOVERNANCE,HIGH,NO,29C1E890D4B3929C43181562A7D0F5435A7EE267
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,11,Evidence Rule,180,192,GOVERNANCE,HIGH,NO,478476056CA0CE685E644093079967238AB81643
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,12,Code / Test / Docs / Runtime Proof Rule,193,200,GOVERNANCE,HIGH,NO,6EFC04A1870FF85546A36E57EE203493CCBBEF44
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,13,C29 OOS Proof Governance Addendum,201,267,GOVERNANCE,HIGH,NO,663DC8142D1B81BC4B7A1EB3372AEA30D2CF2653
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,14,C30 OOS Failure Attribution Governance Addendum,268,341,GOVERNANCE,HIGH,NO,AC6EAA125ECF383E1632E46DFC94034B07B1CFAD
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,15,C31 Controlled Gate Reclassification Governance Addendum,342,444,GOVERNANCE,HIGH,NO,91730728DA9266C0515F5CED3566AA85FFAF1932
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,16,C32 Data Path And Bad Month Diagnostic Governance Addendum,445,538,GOVERNANCE,HIGH,NO,496CB80C277F0F3BE2E00F0847CD79FFAF3EEB4C
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,17,C33 Data Path Replay Proof Governance Addendum,539,640,GOVERNANCE,HIGH,NO,8E75417FE554C90CAEF87A6810BF8E31F3921875
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,18,C34 Bad Month Robustness Diagnostic Governance Addendum,641,735,GOVERNANCE,HIGH,NO,120C323AAF24623A70DCF10BC5A3BBF969175B27
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,19,Anti-Overclaim Rule,736,751,GOVERNANCE,HIGH,NO,EFCE7C363FDD7898C3E5798F1AEAAD2AEDE7B735
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,20,Docs Synchronization Rule,752,762,GOVERNANCE,HIGH,NO,510DFD5E0C98AEB7424D41F15C6DCFD134C28357
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,21,Market-Data Dependency Rule,763,791,GOVERNANCE,HIGH,NO,430535AF63C64C8DE6A36266922C3D9BCC70D4D9
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,22,Consumer Read Safety Rule,792,805,GOVERNANCE,HIGH,NO,C28490195A88E297066150FF662CF615288418A4
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,23,Backtest Integrity Rule,806,819,GOVERNANCE,HIGH,NO,70F133C7F73FBF94797BFCBA25889FBA93FF3A38
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,24,Watchlist Implementation Update Rule,820,831,GOVERNANCE,HIGH,NO,CB828E48940F9BA1E1F55DC38627814D6E4801D6
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,25,`LUMEN_IMPLEMENTATION_STATUS.md` Update Rule,832,846,GOVERNANCE,HIGH,NO,B8FAF7149363529BB58C1C657CAECEDFF2644039
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,26,`LUMEN_CONTRACT_TRACKER.md` Update Rule,847,863,GOVERNANCE,HIGH,NO,E11DDA1E35A2EFA0F208CC370AA312455C3B3AE3
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,27,Final Readiness Claim Rule,864,881,GOVERNANCE,HIGH,NO,730E00CF0413A2E44A541DAF3AE7C8789003EF16
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,28,Initial Governance Baseline,882,900,GOVERNANCE,HIGH,NO,F2C001BE7CDE5921E2F6F012C0D6CBB4F12EA74A
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,29,C35 Governance â€” IS-Only Robustness Redesign Diagnostic,901,1015,GOVERNANCE,HIGH,NO,FD6263C60E2E6E713594C82692F3525A0E4CB789
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,30,C36 Governance â€” Source Artifact Lock and Candidate Formation,1016,1126,GOVERNANCE,HIGH,NO,A95C0F673E9429DA770D63A97F57BB4D6F2B26B0
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,31,C37 Governance - IS Validation And Anti-Overfit Check,1127,1247,GOVERNANCE,HIGH,NO,0D1131A1DF8613E246BE59BA1967A9BB5AD4D6C3
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,32,C38 Governance - IS Redesign Or Evidence Expansion Diagnostic,1248,1369,GOVERNANCE,HIGH,NO,3556A89EE7EA2861B5FA56B5065198C86746C336
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,33,C39 Governance - IS Controlled Redesign With Coverage And Branch Diversification Guards,1370,1502,GOVERNANCE,HIGH,NO,FBE174DFB462FF60971FB93EC8CDA688F71EAD51
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,34,C40 Governance - IS Validation And Anti-Overfit Check For C39 Guarded Candidate,1503,1640,GOVERNANCE,HIGH,NO,EB752B1BC3AE8F8F4F7DE48460EAA6DC4695443D
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,35,C41 Governance - IS Review Or Evidence Expansion Before OOS,1641,1779,GOVERNANCE,HIGH,NO,D8C36507DF9953FFA226A6F96C8DDB9BD186EDFC
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,36,C42 Governance â€” IS Rolling / Normal-Month Evidence Expansion,1780,1874,GOVERNANCE,HIGH,NO,61B00CAB645403F7EA34C6C651BF324E63CD5D34
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,37,C43 Governance â€” Pre-Trade Field Expansion Diagnostic,1875,1927,GOVERNANCE,HIGH,NO,6C1E1F5C005B107E59D7CE0AB288BB184F1BD417
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,38,C44 Governance â€” IS Guard Refinement Candidate Formation,1928,1955,GOVERNANCE,HIGH,NO,1405096B878250BB071E90515A0B102E7106674A
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,39,C45 Governance - IS Validation and Anti-Overfit Check for C44 Refinement,1956,1992,GOVERNANCE,HIGH,NO,92353DBC14145413EEB1D63822CE0684F8A2AC61
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,40,C46 Governance - IS Review or Evidence Expansion Before OOS,1993,2027,GOVERNANCE,HIGH,NO,36DA46B35B6825C42E11BA5994EABF1980D63865
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,41,C47 Governance - OOS Proof with Locked C44 Refinement,2028,2064,GOVERNANCE,HIGH,NO,A503C493105E3D2AB348AF9BD514C4CD33108F6D
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,42,C48 Governance - OOS Failure Attribution Diagnostic,2065,2102,GOVERNANCE,HIGH,NO,48EAB31A8231EAE2412C716F66F78E4654818EF2
LS-WS-0053,,audit/AUDIT_UPDATE_GOVERNANCE.md,43,C49 Governance - IS Broader Strategy Redesign,2103,2146,GOVERNANCE,HIGH,NO,1DEB84624DBFFB738C8E4A47582A8287DE2F57CE
