legacy_work_key,source_count,source_ids,original_paths,note
B01,6,LS-WS-0074;LS-WS-0565;LS-WS-0566;LS-WS-0567;LS-WS-0568;LS-WS-0569,audit/WS_BREAKOUT_INTEGRITY_B01_EXECUTION_AND_TARGET_ALIGNMENT.md;system/policies/weekly_swing/_refs/WS_BREAKOUT_INTEGRITY_B01_ACTIVE_SHADOW_LOCK.md;system/policies/weekly_swing/_refs/WS_BREAKOUT_INTEGRITY_B01_IS_IDENTITY_REVIEW_LOCK.md;system/policies/weekly_swing/_refs/WS_BREAKOUT_INTEGRITY_B01_OFFICIAL_OOS_LOCK.md;system/policies/weekly_swing/_refs/WS_BREAKOUT_INTEGRITY_B01_PREREGISTRATION_LOCK.md;system/policies/weekly_swing/_refs/WS_BREAKOUT_INTEGRITY_B01_PROMOTION_READINESS_LOCK.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C01,3,LS-WS-0570;LS-WS-0571;LS-WS-0577,system/policies/weekly_swing/_refs/WS_C01_FAILURE_DIAGNOSTIC_NOTE.md;system/policies/weekly_swing/_refs/WS_C01_IS_FAILURE_DRILLDOWN_NOTE.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C01_CALIBRATION_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C02,4,LS-WS-0001;LS-WS-0075;LS-WS-0076;LS-WS-0578,audit/_artifacts/c02-forensic-summary.csv;audit/WS_C02_OPERATOR_FORENSIC_FINAL_RESULT.md;audit/WS_C02_OPERATOR_VALIDATION_COMMANDS.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C02_DESIGN_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C03,4,LS-WS-0002;LS-WS-0077;LS-WS-0078;LS-WS-0579,audit/_artifacts/c03-forensic-summary.csv;audit/WS_C03_OPERATOR_FORENSIC_FINAL_RESULT.md;audit/WS_C03_OPERATOR_VALIDATION_COMMANDS.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C03_DESIGN_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C04,5,LS-WS-0003;LS-WS-0079;LS-WS-0080;LS-WS-0580;LS-WS-0581,audit/_artifacts/c04-forensic-summary.csv;audit/WS_C04_OPERATOR_FORENSIC_FINAL_RESULT.md;audit/WS_C04_OPERATOR_VALIDATION_COMMANDS.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C04_DESIGN_INPUT_NOTE.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C04_DESIGN_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C05,4,LS-WS-0004;LS-WS-0081;LS-WS-0082;LS-WS-0582,audit/_artifacts/c05-forensic-summary.csv;audit/WS_C05_OPERATOR_FORENSIC_FINAL_RESULT.md;audit/WS_C05_OPERATOR_VALIDATION_COMMANDS.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C05_DESIGN_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C06,4,LS-WS-0005;LS-WS-0083;LS-WS-0084;LS-WS-0583,audit/_artifacts/c06-forensic-summary.csv;audit/WS_C06_OPERATOR_FORENSIC_FINAL_RESULT.md;audit/WS_C06_OPERATOR_VALIDATION_COMMANDS.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C06_DESIGN_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C07,6,LS-WS-0006;LS-WS-0007;LS-WS-0085;LS-WS-0086;LS-WS-0087;LS-WS-0584,audit/_artifacts/c07-forensic-summary.csv;audit/_artifacts/c07-scoped-drilldown-summary.csv;audit/WS_C07_OPERATOR_FORENSIC_FINAL_RESULT.md;audit/WS_C07_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C07_SCOPED_FAILURE_DRILLDOWN_FINAL_RESULT.md;system/policies/weekly_swing/_refs/WS_DOWNSIDE_STABILITY_C07_DESIGN_NOTE.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C08,1,LS-WS-0088,audit/WS_C08_OPERATOR_VALIDATION_COMMANDS.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C08+C07,2,LS-WS-0008;LS-WS-0089,audit/_artifacts/c08-batched-c07-drilldown-summary.csv;audit/WS_C08_RUNTIME_PAYLOAD_AND_BATCHED_C07_DRILLDOWN_FINAL_RESULT.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C09,2,LS-WS-0090;LS-WS-0091,audit/WS_C09_NULLABLE_EVENT_CONTEXT_RUNTIME_COVERAGE_FINAL_RESULT.md;audit/WS_C09_OPERATOR_VALIDATION_COMMANDS.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C09+C07,1,LS-WS-0009,audit/_artifacts/c09-batched-c07-nullable-context-summary.csv,Historical correlation key only; not a WS-Bxx Attempt ID.
C10,2,LS-WS-0112;LS-WS-0113,audit/WS_C10_EXIT_MODEL_DIAGNOSTIC_FINAL_RESULT.md;audit/WS_C10_OPERATOR_VALIDATION_COMMANDS.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C10+C07,1,LS-WS-0010,audit/_artifacts/c10-batched-c07-exit-model-summary.csv,Historical correlation key only; not a WS-Bxx Attempt ID.
C100,2,LS-WS-0092;LS-WS-0093,audit/WS_C100_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C100_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_RESULT_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C101,2,LS-WS-0094;LS-WS-0095,audit/WS_C101_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C101_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_OPERATOR_GO_NO_GO_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C102,2,LS-WS-0096;LS-WS-0097,audit/WS_C102_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C102_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_GO_DECISION_FINALIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C103,2,LS-WS-0098;LS-WS-0099,audit/WS_C103_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C103_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_COMPLETION_BOUNDARY_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C104,2,LS-WS-0100;LS-WS-0101,audit/WS_C104_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C104_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_HANDOFF_READINESS_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C105,2,LS-WS-0102;LS-WS-0103,audit/WS_C105_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C105_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_HANDOFF_FINALIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C106,2,LS-WS-0104;LS-WS-0105,audit/WS_C106_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C106_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_HANDOFF_COMPLETION_BOUNDARY_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C107,2,LS-WS-0106;LS-WS-0107,audit/WS_C107_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C107_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_HANDOFF_CLOSURE_SEAL_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C108,2,LS-WS-0108;LS-WS-0109,audit/WS_C108_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C108_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_HANDOFF_AUDIT_ARCHIVE_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C109,2,LS-WS-0110;LS-WS-0111,audit/WS_C109_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C109_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_HANDOFF_AUDIT_ARCHIVE_COMPLETION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C11,3,LS-WS-0011;LS-WS-0134;LS-WS-0135,audit/_artifacts/c11-exit-model-contract-audit.json;audit/WS_C11_EXIT_MODEL_CONTRACT_AUDIT_FINAL_RESULT.md;audit/WS_C11_OPERATOR_VALIDATION_COMMANDS.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C110,2,LS-WS-0114;LS-WS-0115,audit/WS_C110_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C110_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_HANDOFF_AUDIT_ARCHIVE_COMPLETION_SEAL_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C111,2,LS-WS-0116;LS-WS-0117,audit/WS_C111_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C111_WEEKLY_SWING_WATCHLIST_NON_LIVE_REHEARSAL_HANDOFF_AUDIT_ARCHIVE_FINAL_CLOSURE_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C112,2,LS-WS-0118;LS-WS-0119,audit/WS_C112_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C112_WEEKLY_SWING_WATCHLIST_PRODUCTION_PHASE_APPROVAL_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C113,2,LS-WS-0120;LS-WS-0121,audit/WS_C113_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C113_WEEKLY_SWING_WATCHLIST_PRODUCTION_READINESS_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C114,2,LS-WS-0122;LS-WS-0123,audit/WS_C114_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C114_WEEKLY_SWING_WATCHLIST_PRODUCTION_RUNTIME_WIRING_READINESS_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C115,2,LS-WS-0124;LS-WS-0125,audit/WS_C115_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C115_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_EXECUTION_APPROVAL_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C116,2,LS-WS-0126;LS-WS-0127,audit/WS_C116_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C116_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_EXECUTION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C117,2,LS-WS-0128;LS-WS-0129,audit/WS_C117_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C117_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_OBSERVATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C118,2,LS-WS-0130;LS-WS-0131,audit/WS_C118_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C118_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_OBSERVATION_RESULT_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C119,2,LS-WS-0132;LS-WS-0133,audit/WS_C119_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C119_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_OPERATOR_GO_NO_GO_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C12,3,LS-WS-0012;LS-WS-0156;LS-WS-0157,audit/_artifacts/c12-exit-model-redesign-contract.json;audit/WS_C12_EXIT_MODEL_REDESIGN_CONTRACT_FINAL_RESULT.md;audit/WS_C12_OPERATOR_VALIDATION_COMMANDS.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C120,2,LS-WS-0136;LS-WS-0137,audit/WS_C120_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C120_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_GO_DECISION_FINALIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C121,2,LS-WS-0138;LS-WS-0139,audit/WS_C121_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C121_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_COMPLETION_BOUNDARY_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C122,2,LS-WS-0140;LS-WS-0141,audit/WS_C122_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C122_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_HANDOFF_READINESS_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C123,2,LS-WS-0142;LS-WS-0143,audit/WS_C123_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C123_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_HANDOFF_FINALIZATION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C124,2,LS-WS-0144;LS-WS-0145,audit/WS_C124_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C124_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_HANDOFF_COMPLETION_BOUNDARY_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C125,2,LS-WS-0146;LS-WS-0147,audit/WS_C125_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C125_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_HANDOFF_CLOSURE_SEAL_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C126,2,LS-WS-0148;LS-WS-0149,audit/WS_C126_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C126_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_HANDOFF_AUDIT_ARCHIVE_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C127,2,LS-WS-0150;LS-WS-0151,audit/WS_C127_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C127_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_HANDOFF_AUDIT_ARCHIVE_COMPLETION_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C128,2,LS-WS-0152;LS-WS-0153,audit/WS_C128_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C128_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_HANDOFF_AUDIT_ARCHIVE_COMPLETION_SEAL_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C129,2,LS-WS-0154;LS-WS-0155,audit/WS_C129_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C129_WEEKLY_SWING_WATCHLIST_CONTROLLED_RUNTIME_WIRING_HANDOFF_AUDIT_ARCHIVE_FINAL_CLOSURE_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C13,3,LS-WS-0013;LS-WS-0178;LS-WS-0179,audit/_artifacts/c13-exit-axis-support-audit.json;audit/WS_C13_EXIT_AXIS_SUPPORT_FINAL_RESULT.md;audit/WS_C13_OPERATOR_VALIDATION_COMMANDS.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C130,2,LS-WS-0158;LS-WS-0159,audit/WS_C130_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C130_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_READINESS_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
C131,2,LS-WS-0160;LS-WS-0161,audit/WS_C131_OPERATOR_VALIDATION_COMMANDS.md;audit/WS_C131_WEEKLY_SWING_WATCHLIST_PRODUCTION_LIVE_RUNTIME_ACTIVATION_APPROVAL_REVIEW.md,Historical correlation key only; not a WS-Bxx Attempt ID.
